input_bits_,entry_count_,hash_count_,bpi_count_,accuracy_mean,accuracy_std,accuracy_median,accuracy_max,precision_mean,precision_std,precision_median,precision_max,recall_mean,recall_std,recall_median,recall_max,f1_score_mean,f1_score_std,f1_score_median,f1_score_max
8,256,20,32,64.37,0.5120677634975783,64.2483,65.1367,0.48288333333333333,0.05015619458001774,0.48114999999999997,0.5468,0.62735,0.02164343475875362,0.6382,0.6465,0.54345,0.027685630461996222,0.54325,0.5864
8,256,20,64,63.742149999999995,0.733832418305722,63.87855,64.744,0.47629999999999995,0.05454652055839978,0.47605,0.5508,0.6481666666666667,0.0076242043270174495,0.64905,0.6587,0.54725,0.036169005064755386,0.5483,0.5984
8,512,2,16,63.23701666666667,0.6182218737601659,63.42505,63.869,0.47150000000000003,0.053323729349435446,0.46875,0.5456,0.6543666666666667,0.012851059126406335,0.6592,0.6693,0.5461333333333334,0.035339265515158036,0.5440499999999999,0.5984
8,512,3,128,63.230733333333326,0.7177242354917992,63.262100000000004,64.1411,0.47123333333333334,0.052800700435509815,0.47109999999999996,0.5447,0.6433666666666666,0.014007220803459605,0.6475,0.6614,0.54195,0.03319054940540157,0.5424,0.5905
8,512,4,16,63.9441,0.44339768144479036,63.8338,64.5798,0.4785,0.05423561261733523,0.47195,0.5502,0.6214833333333334,0.019455270285951863,0.61555,0.6481,0.5381666666666667,0.029773033428810606,0.5365,0.5772
8,512,4,64,63.2625,0.7634682616796699,63.199,64.176,0.4717833333333334,0.05304147475978338,0.47,0.5491,0.6500166666666667,0.017613486770117894,0.6608,0.664,0.5446666666666667,0.03424559670752939,0.5425500000000001,0.6005
8,512,4,128,62.94596666666666,0.7237667360884695,62.65115,64.1622,0.46875,0.049850931416860124,0.4707,0.5312,0.6594666666666666,0.010711034356365418,0.66245,0.6725,0.5462,0.032786408820606676,0.5486,0.5906
8,512,5,16,63.70264999999999,0.9166425165093651,63.81395,64.6609,0.4755666666666667,0.052834018582283454,0.4758,0.5565,0.6275000000000001,0.018790732293120758,0.63185,0.6534,0.5389499999999999,0.03210841011323979,0.5440499999999999,0.592
8,512,10,16,64.07553333333333,0.48733392587348506,64.35464999999999,64.5629,0.4786333333333334,0.05206691011085275,0.47395,0.5551,0.6129,0.012511313316109314,0.6194500000000001,0.6243,0.5356833333333333,0.03152840786962284,0.53105,0.5867
8,512,20,128,62.91975,0.800445850097648,62.94325,64.0625,0.46849999999999997,0.048307118043113335,0.46895,0.5389,0.6563833333333333,0.017711885666262295,0.6656,0.6715,0.5448166666666667,0.03021827945809988,0.5466500000000001,0.5944
8,1024,2,32,64.38085,0.9567100728056649,64.56495000000001,65.609,0.4822333333333333,0.05356324513180919,0.48114999999999997,0.5662,0.6309166666666667,0.017144220649419367,0.635,0.6574,0.5449333333333334,0.03557583763544701,0.54415,0.6084
8,1024,3,256,63.29255,0.7207644167225581,63.1661,64.3949,0.4722333333333334,0.051303456927749326,0.47285,0.543,0.6592166666666667,0.012439091831262938,0.6663,0.6709,0.5484166666666667,0.03346996068352074,0.55,0.5989
8,1024,4,32,63.10333333333334,0.5380583580319561,62.98745,63.869,0.4695166666666667,0.05223286118632117,0.4647,0.5453,0.6524,0.013106525305609875,0.65615,0.6675,0.5444666666666667,0.03681314739639971,0.53835,0.6002
8,1024,4,128,64.38236666666666,0.9650357268982044,64.69945,65.4043,0.4819666666666667,0.05280073217708021,0.48119999999999996,0.5648,0.6223833333333333,0.016588959443527312,0.62615,0.6474,0.5416,0.03469144115463458,0.5401,0.6033
8,1024,5,128,62.66433333333333,0.7041253237232575,62.881,63.4671,0.46353333333333335,0.05060870815168197,0.4566,0.5408,0.6113666666666666,0.023365256162317743,0.615,0.6383,0.5253833333333333,0.032601577402972544,0.516,0.584
8,1024,10,32,63.45651666666667,0.6655653834214482,63.454049999999995,64.3604,0.47353333333333336,0.05240226870435219,0.47335,0.5447,0.64745,0.012370637880248767,0.6496999999999999,0.6592,0.5450499999999999,0.033385847367848484,0.5441,0.5905
8,2048,2,32,63.28161666666667,0.49666551838318507,63.218199999999996,64.0904,0.4699,0.04968218546997128,0.46445000000000003,0.5428,0.6071833333333334,0.01641426855788899,0.6069,0.6339,0.5279,0.029508941926664964,0.52105,0.5731
8,2048,3,256,62.957883333333335,0.8523010924753298,62.8859,64.0229,0.46868333333333334,0.05179545341449776,0.47015,0.5424,0.6520666666666667,0.012943193461555019,0.6576500000000001,0.6672,0.5434666666666667,0.03388412723108404,0.5457,0.5955
8,2048,5,64,64.14713333333333,0.5728175955444819,64.2846,64.7902,0.48005000000000003,0.05600028182291415,0.4749,0.5598,0.6208166666666667,0.010580009082168633,0.6262000000000001,0.6304,0.5393666666666667,0.03405882194021555,0.53515,0.5905
8,2048,10,64,63.241099999999996,0.6940938427689964,63.11175,64.2453,0.47135000000000005,0.05173012532288886,0.4718,0.542,0.64535,0.0119900447532258,0.64855,0.6617,0.5428000000000001,0.032504146705807015,0.5436000000000001,0.5911
8,4096,1,16,64.04453333333333,0.6937691798143952,63.931149999999995,65.0186,0.4784833333333333,0.05101506240492869,0.47935,0.5485,0.6038333333333333,0.019797889397130338,0.61165,0.6225,0.5317833333333333,0.028712390994970173,0.5356,0.5786
8,4096,1,32,63.390550000000005,0.7284979574592834,63.43615,64.1789,0.4735666666666667,0.05364581757245163,0.47165,0.5495,0.66135,0.011812182424568487,0.65955,0.6773,0.54985,0.03443267660053595,0.5506,0.5986
8,4096,20,16,63.216833333333334,0.7046535548780232,63.197649999999996,64.1748,0.4693833333333334,0.04683164009477438,0.46699999999999997,0.5378,0.6171666666666666,0.015296583764368276,0.62285,0.6357,0.5315833333333333,0.028621187018862695,0.52725,0.5791
16,256,20,128,63.33506666666666,0.6467800710714551,63.183499999999995,64.2423,0.4716,0.04902043810448155,0.47145000000000004,0.5409,0.6315333333333334,0.015836313548791673,0.6361,0.6487,0.5380666666666667,0.029597844553862974,0.5373,0.583
