input_bits_,entry_count_,hash_count_,bpi_count_,accuracy_mean,precision_mean,recall_mean,f1_score_mean
64,1024,2,128,60.446,1,0.003,0.0059
64,1024,3,8,60.446,0.6667,0.0059,0.0117
64,1024,3,128,60.446,0.6667,0.0059,0.0117
128,1024,2,32,60.446,0.5714,0.0118,0.0232
128,1024,2,64,60.446,0.6667,0.0059,0.0117
128,1024,3,8,60.446,0.6667,0.0059,0.0117
128,1024,3,128,60.446,1,0.003,0.0059
4,128,3,32,60.3286,0,0,0
4,1024,4,16,60.3286,0,0,0
8,256,20,128,60.3286,0.5,0.0089,0.0174
8,512,4,128,60.3286,0.5,0.003,0.0059
16,128,10,8,60.3286,0,0,0
16,128,20,4,60.3286,0,0,0
16,128,20,8,60.3286,0,0,0
16,128,20,16,60.3286,0,0,0
16,128,20,64,60.3286,0,0,0
32,128,2,4,60.3286,0,0,0
32,128,2,8,60.3286,0,0,0
32,128,2,16,60.3286,0,0,0
32,128,3,4,60.3286,0,0,0
32,128,3,8,60.3286,0,0,0
32,128,3,16,60.3286,0,0,0
32,128,3,32,60.3286,0,0,0
32,128,3,64,60.3286,0,0,0
32,128,4,4,60.3286,0,0,0
32,128,4,8,60.3286,0,0,0
32,128,4,16,60.3286,0,0,0
32,128,4,32,60.3286,0,0,0
32,128,4,64,60.3286,0,0,0
32,128,5,4,60.3286,0,0,0
32,128,5,8,60.3286,0,0,0
32,128,5,16,60.3286,0,0,0
32,128,5,32,60.3286,0,0,0
32,128,5,64,60.3286,0,0,0
32,128,10,4,60.3286,0,0,0
32,128,10,8,60.3286,0,0,0
32,128,10,16,60.3286,0,0,0
32,128,10,32,60.3286,0,0,0
32,128,10,64,60.3286,0,0,0
32,128,20,4,60.3286,0,0,0
32,128,20,8,60.3286,0,0,0
32,128,20,16,60.3286,0,0,0
32,128,20,32,60.3286,0,0,0
32,128,20,64,60.3286,0,0,0
32,128,20,128,60.3286,0,0,0
32,256,2,4,60.3286,0.5,0.0059,0.0117
32,256,2,8,60.3286,0,0,0
32,256,3,4,60.3286,0,0,0
32,256,3,8,60.3286,0.5,0.003,0.0059
32,256,3,16,60.3286,0,0,0
32,256,4,4,60.3286,0,0,0
32,256,4,16,60.3286,0,0,0
32,256,5,4,60.3286,0,0,0
32,256,5,8,60.3286,0,0,0
32,256,5,16,60.3286,0,0,0
32,256,10,4,60.3286,0,0,0
32,256,10,8,60.3286,0,0,0
32,256,10,16,60.3286,0,0,0
32,256,10,32,60.3286,0,0,0
32,256,20,4,60.3286,0,0,0
32,256,20,8,60.3286,0,0,0
32,256,20,16,60.3286,0,0,0
32,256,20,32,60.3286,0,0,0
32,256,20,64,60.3286,0,0,0
32,256,20,128,60.3286,0,0,0
32,512,10,4,60.3286,0,0,0
32,512,10,8,60.3286,0,0,0
32,512,10,32,60.3286,0,0,0
32,512,20,4,60.3286,0,0,0
32,512,20,8,60.3286,0,0,0
32,512,20,16,60.3286,0,0,0
32,512,20,32,60.3286,0,0,0
32,512,20,64,60.3286,0.5,0.0325,0.0611
32,1024,5,4,60.3286,0.5,0.003,0.0059
32,1024,20,4,60.3286,0,0,0
64,128,2,4,60.3286,0,0,0
64,128,2,8,60.3286,0,0,0
64,128,2,16,60.3286,0,0,0
64,128,2,32,60.3286,0,0,0
64,128,2,64,60.3286,0,0,0
64,128,2,128,60.3286,0,0,0
64,128,3,4,60.3286,0,0,0
64,128,3,8,60.3286,0,0,0
64,128,3,16,60.3286,0,0,0
64,128,3,32,60.3286,0,0,0
64,128,3,64,60.3286,0,0,0
64,128,3,128,60.3286,0,0,0
64,128,4,4,60.3286,0,0,0
64,128,4,8,60.3286,0,0,0
64,128,4,16,60.3286,0,0,0
64,128,4,32,60.3286,0,0,0
64,128,4,64,60.3286,0,0,0
64,128,4,128,60.3286,0,0,0
64,128,5,4,60.3286,0,0,0
64,128,5,8,60.3286,0,0,0
64,128,5,16,60.3286,0,0,0
64,128,5,32,60.3286,0,0,0
64,128,5,64,60.3286,0,0,0
64,128,5,128,60.3286,0,0,0
64,128,10,4,60.3286,0,0,0
64,128,10,8,60.3286,0,0,0
64,128,10,16,60.3286,0,0,0
64,128,10,32,60.3286,0,0,0
64,128,10,64,60.3286,0,0,0
64,128,10,128,60.3286,0,0,0
64,128,20,4,60.3286,0,0,0
64,128,20,8,60.3286,0,0,0
64,128,20,16,60.3286,0,0,0
64,128,20,32,60.3286,0,0,0
64,128,20,64,60.3286,0,0,0
64,128,20,128,60.3286,0,0,0
64,256,2,4,60.3286,0,0,0
64,256,2,8,60.3286,0,0,0
64,256,2,16,60.3286,0,0,0
64,256,2,32,60.3286,0,0,0
64,256,2,64,60.3286,0,0,0
64,256,2,128,60.3286,0,0,0
64,256,3,4,60.3286,0,0,0
64,256,3,8,60.3286,0,0,0
64,256,3,16,60.3286,0,0,0
64,256,3,32,60.3286,0,0,0
64,256,3,64,60.3286,0,0,0
64,256,3,128,60.3286,0,0,0
64,256,4,4,60.3286,0,0,0
64,256,4,8,60.3286,0,0,0
64,256,4,16,60.3286,0,0,0
64,256,4,32,60.3286,0,0,0
64,256,4,64,60.3286,0,0,0
64,256,4,128,60.3286,0,0,0
64,256,5,4,60.3286,0,0,0
64,256,5,8,60.3286,0,0,0
64,256,5,16,60.3286,0,0,0
64,256,5,32,60.3286,0,0,0
64,256,5,64,60.3286,0,0,0
64,256,5,128,60.3286,0,0,0
64,256,10,4,60.3286,0,0,0
64,256,10,8,60.3286,0,0,0
64,256,10,16,60.3286,0,0,0
64,256,10,32,60.3286,0,0,0
64,256,10,64,60.3286,0,0,0
64,256,10,128,60.3286,0,0,0
64,256,20,4,60.3286,0,0,0
64,256,20,8,60.3286,0,0,0
64,256,20,16,60.3286,0,0,0
64,256,20,32,60.3286,0,0,0
64,256,20,64,60.3286,0,0,0
64,256,20,128,60.3286,0,0,0
64,512,2,4,60.3286,0.5,0.003,0.0059
64,512,2,8,60.3286,0,0,0
64,512,2,16,60.3286,0,0,0
64,512,2,32,60.3286,0,0,0
64,512,2,64,60.3286,0,0,0
64,512,2,128,60.3286,0,0,0
64,512,3,4,60.3286,0,0,0
64,512,3,8,60.3286,0,0,0
64,512,3,16,60.3286,0,0,0
64,512,3,32,60.3286,0,0,0
64,512,3,64,60.3286,0,0,0
64,512,3,128,60.3286,0,0,0
64,512,4,4,60.3286,0,0,0
64,512,4,8,60.3286,0,0,0
64,512,4,16,60.3286,0,0,0
64,512,4,32,60.3286,0,0,0
64,512,4,64,60.3286,0,0,0
64,512,4,128,60.3286,0,0,0
64,512,5,4,60.3286,0,0,0
64,512,5,8,60.3286,0,0,0
64,512,5,16,60.3286,0,0,0
64,512,5,32,60.3286,0,0,0
64,512,5,64,60.3286,0,0,0
64,512,5,128,60.3286,0,0,0
64,512,10,4,60.3286,0,0,0
64,512,10,8,60.3286,0,0,0
64,512,10,16,60.3286,0,0,0
64,512,10,32,60.3286,0,0,0
64,512,10,64,60.3286,0,0,0
64,512,10,128,60.3286,0,0,0
64,512,20,4,60.3286,0,0,0
64,512,20,8,60.3286,0,0,0
64,512,20,16,60.3286,0,0,0
64,512,20,32,60.3286,0,0,0
64,512,20,64,60.3286,0,0,0
64,512,20,128,60.3286,0,0,0
64,1024,2,32,60.3286,0,0,0
64,1024,3,4,60.3286,0,0,0
64,1024,3,32,60.3286,0,0,0
64,1024,3,64,60.3286,0.5,0.003,0.0059
64,1024,4,4,60.3286,0,0,0
64,1024,4,16,60.3286,0,0,0
64,1024,4,32,60.3286,0,0,0
64,1024,4,128,60.3286,0.5,0.003,0.0059
64,1024,5,4,60.3286,0,0,0
64,1024,5,8,60.3286,0,0,0
64,1024,5,16,60.3286,0,0,0
64,1024,5,32,60.3286,0,0,0
64,1024,5,64,60.3286,0,0,0
64,1024,5,128,60.3286,0,0,0
64,1024,10,4,60.3286,0,0,0
64,1024,10,8,60.3286,0,0,0
64,1024,10,16,60.3286,0,0,0
64,1024,10,32,60.3286,0,0,0
64,1024,10,64,60.3286,0,0,0
64,1024,10,128,60.3286,0,0,0
64,1024,20,4,60.3286,0,0,0
64,1024,20,8,60.3286,0,0,0
64,1024,20,16,60.3286,0,0,0
64,1024,20,32,60.3286,0,0,0
64,1024,20,64,60.3286,0,0,0
64,1024,20,128,60.3286,0,0,0
128,128,2,4,60.3286,0,0,0
128,128,2,8,60.3286,0,0,0
128,128,2,16,60.3286,0,0,0
128,128,2,32,60.3286,0,0,0
128,128,2,64,60.3286,0,0,0
128,128,2,128,60.3286,0,0,0
128,128,3,4,60.3286,0,0,0
128,128,3,8,60.3286,0,0,0
128,128,3,16,60.3286,0,0,0
128,128,3,32,60.3286,0,0,0
128,128,3,64,60.3286,0,0,0
128,128,3,128,60.3286,0,0,0
128,128,4,4,60.3286,0,0,0
128,128,4,8,60.3286,0,0,0
128,128,4,16,60.3286,0,0,0
128,128,4,32,60.3286,0,0,0
128,128,4,64,60.3286,0,0,0
128,128,4,128,60.3286,0,0,0
128,128,5,4,60.3286,0,0,0
128,128,5,8,60.3286,0,0,0
128,128,5,16,60.3286,0,0,0
128,128,5,32,60.3286,0,0,0
128,128,5,64,60.3286,0,0,0
128,128,5,128,60.3286,0,0,0
128,128,10,4,60.3286,0,0,0
128,128,10,8,60.3286,0,0,0
128,128,10,16,60.3286,0,0,0
128,128,10,32,60.3286,0,0,0
128,128,10,64,60.3286,0,0,0
128,128,10,128,60.3286,0,0,0
128,128,20,4,60.3286,0,0,0
128,128,20,8,60.3286,0,0,0
128,128,20,16,60.3286,0,0,0
128,128,20,32,60.3286,0,0,0
128,128,20,64,60.3286,0,0,0
128,128,20,128,60.3286,0,0,0
128,256,2,4,60.3286,0,0,0
128,256,2,8,60.3286,0,0,0
128,256,2,16,60.3286,0,0,0
128,256,2,32,60.3286,0,0,0
128,256,2,64,60.3286,0,0,0
128,256,2,128,60.3286,0,0,0
128,256,3,4,60.3286,0,0,0
128,256,3,8,60.3286,0,0,0
128,256,3,16,60.3286,0,0,0
128,256,3,32,60.3286,0,0,0
128,256,3,64,60.3286,0,0,0
128,256,3,128,60.3286,0,0,0
128,256,4,4,60.3286,0,0,0
128,256,4,8,60.3286,0,0,0
128,256,4,16,60.3286,0,0,0
128,256,4,32,60.3286,0,0,0
128,256,4,64,60.3286,0,0,0
128,256,4,128,60.3286,0,0,0
128,256,5,4,60.3286,0,0,0
128,256,5,8,60.3286,0,0,0
128,256,5,16,60.3286,0,0,0
128,256,5,32,60.3286,0,0,0
128,256,5,64,60.3286,0,0,0
128,256,5,128,60.3286,0,0,0
128,256,10,4,60.3286,0,0,0
128,256,10,8,60.3286,0,0,0
128,256,10,16,60.3286,0,0,0
128,256,10,32,60.3286,0,0,0
128,256,10,64,60.3286,0,0,0
128,256,10,128,60.3286,0,0,0
128,256,20,4,60.3286,0,0,0
128,256,20,8,60.3286,0,0,0
128,256,20,16,60.3286,0,0,0
128,256,20,32,60.3286,0,0,0
128,256,20,64,60.3286,0,0,0
128,256,20,128,60.3286,0,0,0
128,512,2,8,60.3286,0,0,0
128,512,2,16,60.3286,0,0,0
128,512,2,32,60.3286,0,0,0
128,512,2,64,60.3286,0,0,0
128,512,3,4,60.3286,0,0,0
128,512,3,8,60.3286,0,0,0
128,512,3,16,60.3286,0,0,0
128,512,3,32,60.3286,0,0,0
128,512,3,64,60.3286,0,0,0
128,512,3,128,60.3286,0,0,0
128,512,4,4,60.3286,0,0,0
128,512,4,8,60.3286,0,0,0
128,512,4,16,60.3286,0,0,0
128,512,4,32,60.3286,0,0,0
128,512,4,64,60.3286,0,0,0
128,512,4,128,60.3286,0,0,0
128,512,5,4,60.3286,0,0,0
128,512,5,8,60.3286,0,0,0
128,512,5,16,60.3286,0,0,0
128,512,5,32,60.3286,0,0,0
128,512,5,64,60.3286,0,0,0
128,512,5,128,60.3286,0,0,0
128,512,10,4,60.3286,0,0,0
128,512,10,8,60.3286,0,0,0
128,512,10,16,60.3286,0,0,0
128,512,10,32,60.3286,0,0,0
128,512,10,64,60.3286,0,0,0
128,512,10,128,60.3286,0,0,0
128,512,20,4,60.3286,0,0,0
128,512,20,8,60.3286,0,0,0
128,512,20,16,60.3286,0,0,0
128,512,20,32,60.3286,0,0,0
128,512,20,64,60.3286,0,0,0
128,512,20,128,60.3286,0,0,0
128,1024,2,16,60.3286,0,0,0
128,1024,2,128,60.3286,0,0,0
128,1024,3,4,60.3286,0,0,0
128,1024,3,16,60.3286,0,0,0
128,1024,3,64,60.3286,0,0,0
128,1024,4,4,60.3286,0,0,0
128,1024,4,8,60.3286,0,0,0
128,1024,4,16,60.3286,0,0,0
128,1024,4,32,60.3286,0,0,0
128,1024,4,128,60.3286,0,0,0
128,1024,5,4,60.3286,0,0,0
128,1024,5,8,60.3286,0,0,0
128,1024,5,16,60.3286,0,0,0
128,1024,5,32,60.3286,0,0,0
128,1024,5,64,60.3286,0,0,0
128,1024,5,128,60.3286,0,0,0
128,1024,10,4,60.3286,0,0,0
128,1024,10,8,60.3286,0,0,0
128,1024,10,16,60.3286,0,0,0
128,1024,10,32,60.3286,0,0,0
128,1024,10,64,60.3286,0,0,0
128,1024,10,128,60.3286,0,0,0
128,1024,20,4,60.3286,0,0,0
128,1024,20,8,60.3286,0,0,0
128,1024,20,16,60.3286,0,0,0
128,1024,20,32,60.3286,0,0,0
128,1024,20,64,60.3286,0,0,0
128,1024,20,128,60.3286,0,0,0
32,512,3,16,60.2113,0.4615,0.0178,0.0342
32,512,5,4,60.2113,0,0,0
64,1024,4,8,60.2113,0,0,0
64,1024,4,64,60.2113,0,0,0
128,512,2,4,60.2113,0,0,0
128,512,2,128,60.2113,0,0,0
4,128,2,8,60.0939,0.375,0.0089,0.0173
32,128,10,128,60.0939,0.4773,0.0621,0.1099
32,256,2,16,60.0939,0.3333,0.0059,0.0116
32,256,10,64,60.0939,0.4444,0.0237,0.0449
32,512,3,4,60.0939,0,0,0
32,1024,4,4,60.0939,0.25,0.003,0.0058
64,1024,2,4,60.0939,0,0,0
64,1024,3,16,60.0939,0,0,0
128,1024,4,64,60.0939,0,0,0
32,512,20,128,59.9765,0.44,0.0325,0.0606
64,1024,2,8,59.9765,0.3636,0.0118,0.0229
64,1024,2,16,59.9765,0.3333,0.0089,0.0173
128,1024,3,32,59.9765,0,0,0
32,128,3,128,59.8592,0.4,0.0237,0.0447
128,1024,2,4,59.8592,0.3571,0.0148,0.0284
32,256,5,128,59.7418,0.4194,0.0385,0.0705
128,1024,2,8,59.7418,0.2222,0.0059,0.0115
32,256,5,32,59.507,0,0,0
