input_bits_,entry_count_,hash_count_,bpi_count_,accuracy_mean,precision_mean,recall_mean,f1_score_mean
8,256,5,32,66.9014,0.6474,0.3639,0.4659
8,256,20,64,66.9014,0.6489,0.3609,0.4639
8,1024,3,16,66.9014,0.6818,0.3107,0.4268
8,1024,3,32,66.9014,0.6707,0.3254,0.4382
8,1024,4,128,66.9014,0.6538,0.3521,0.4577
8,1024,20,16,66.9014,0.6667,0.3314,0.4427
16,128,5,64,66.9014,0.6591,0.3432,0.4514
16,256,2,128,66.9014,0.7295,0.2633,0.387
16,256,3,64,66.9014,0.6728,0.3225,0.436
16,256,3,128,66.9014,0.6628,0.3373,0.4471
16,512,5,32,66.9014,0.6573,0.3462,0.4535
4,128,4,32,66.784,0.6519,0.3491,0.4547
4,128,10,4,66.784,0.6708,0.3195,0.4329
4,256,2,32,66.784,0.6627,0.3314,0.4418
4,256,3,16,66.784,0.6554,0.3432,0.4505
4,256,4,16,66.784,0.6519,0.3491,0.4547
4,256,4,128,66.784,0.6503,0.3521,0.4568
4,256,20,32,66.784,0.6503,0.3521,0.4568
4,512,3,64,66.784,0.6425,0.3669,0.467
4,512,10,128,66.784,0.6752,0.3136,0.4283
4,1024,2,16,66.784,0.6503,0.3521,0.4568
4,1024,4,32,66.784,0.673,0.3166,0.4306
4,1024,10,16,66.784,0.6627,0.3314,0.4418
8,128,5,64,66.784,0.6571,0.3402,0.4483
8,256,2,128,66.784,0.6471,0.358,0.461
8,256,5,16,66.784,0.6871,0.2988,0.4165
8,512,3,32,66.784,0.6627,0.3314,0.4418
8,512,4,32,66.784,0.6486,0.355,0.4589
8,512,5,64,66.784,0.7007,0.284,0.4042
8,1024,5,4,66.784,0.673,0.3166,0.4306
16,128,4,64,66.784,0.6708,0.3195,0.4329
16,128,5,128,66.784,0.6687,0.3225,0.4351
16,256,4,128,66.784,0.6627,0.3314,0.4418
16,512,2,16,66.784,0.7165,0.2692,0.3914
16,1024,20,64,66.784,0.644,0.3639,0.465
4,256,5,8,66.6667,0.6627,0.3254,0.4365
4,256,10,128,66.6667,0.6452,0.355,0.458
4,256,20,4,66.6667,0.6901,0.2899,0.4083
4,256,20,64,66.6667,0.6607,0.3284,0.4387
4,512,3,16,66.6667,0.6436,0.358,0.4601
4,512,4,8,66.6667,0.6646,0.3225,0.4343
