model_file,accuracy,precision,recall,f1_score,true_positives,false_positives,false_negatives
['portfolio6']_32input_256entry_3hash_32bpi.pickle.lzma,63.46914556962025,0.654421768707483,0.5708069620253164,0.6097612507923094,1443,762,1085
['portfolio6']_32input_256entry_3hash_4bpi.pickle.lzma,54.98417721518988,0.583554376657825,0.34810126582278483,0.4360753221010903,880,628,1648
['portfolio6']_32input_256entry_3hash_8bpi.pickle.lzma,57.37737341772152,0.6102897693672383,0.40822784810126583,0.48921545389902815,1032,659,1496
['portfolio6']_32input_256entry_4hash_16bpi.pickle.lzma,58.56408227848101,0.6023640661938534,0.5039556962025317,0.5487831143657118,1274,841,1254
['portfolio6']_32input_256entry_4hash_32bpi.pickle.lzma,62.75712025316456,0.6411378555798687,0.5795094936708861,0.6087679202160814,1465,820,1063
['portfolio6']_32input_256entry_4hash_4bpi.pickle.lzma,53.34256329113924,0.5500889152341435,0.3670886075949367,0.440332147093713,928,759,1600
['portfolio6']_32input_256entry_4hash_8bpi.pickle.lzma,55.81487341772152,0.584971098265896,0.40031645569620256,0.47534053546265853,1012,718,1516
['portfolio6']_32input_256entry_5hash_16bpi.pickle.lzma,57.31803797468354,0.5731803797468354,0.5731803797468354,0.5731803797468354,1449,1079,1079
['portfolio6']_32input_256entry_5hash_32bpi.pickle.lzma,59.57278481012658,0.6106032906764168,0.5284810126582279,0.5665818490245972,1336,852,1192
['portfolio6']_32input_256entry_5hash_4bpi.pickle.lzma,50.0,0.0,0.0,0.0,0,0,2528
['portfolio6']_32input_256entry_5hash_8bpi.pickle.lzma,54.17325949367089,0.5594366197183098,0.3928006329113924,0.4615384615384615,993,782,1535
['portfolio6']_32input_512entry_1hash_16bpi.pickle.lzma,71.04430379746836,0.7628458498023716,0.6107594936708861,0.6783831282952548,1544,480,984
['portfolio6']_32input_512entry_1hash_32bpi.pickle.lzma,78.20411392405063,0.8310120705663882,0.7080696202531646,0.7646304997864162,1790,364,738
['portfolio6']_32input_512entry_1hash_64bpi.pickle.lzma,83.82120253164557,0.8727114210985178,0.7919303797468354,0.830360846121941,2002,292,526
['portfolio6']_32input_512entry_2hash_16bpi.pickle.lzma,69.73892405063292,0.7255877034358047,0.6348892405063291,0.6772151898734177,1605,607,923
['portfolio6']_32input_512entry_2hash_32bpi.pickle.lzma,74.10996835443038,0.7804878048780488,0.6708860759493671,0.7215486066794299,1696,477,832
['portfolio6']_32input_512entry_2hash_4bpi.pickle.lzma,59.375,0.6536964980544747,0.3987341772151899,0.49533169533169535,1008,534,1520
['portfolio6']_32input_512entry_2hash_64bpi.pickle.lzma,80.83465189873418,0.8268343815513627,0.7800632911392406,0.8027681660899654,1972,413,556
['portfolio6']_32input_512entry_2hash_8bpi.pickle.lzma,62.87579113924051,0.6962025316455697,0.45688291139240506,0.5517076665870552,1155,504,1373
['portfolio6']_32input_512entry_3hash_16bpi.pickle.lzma,67.00949367088607,0.7103718199608611,0.5743670886075949,0.6351706036745407,1452,592,1076
['portfolio6']_32input_512entry_3hash_32bpi.pickle.lzma,72.29034810126582,0.7557875624148888,0.658623417721519,0.703868103994927,1665,538,863
['portfolio6']_32input_512entry_3hash_4bpi.pickle.lzma,56.98180379746836,0.6214728148657949,0.3571993670886076,0.45365486058779203,903,550,1625
['portfolio6']_32input_512entry_3hash_64bpi.pickle.lzma,76.22626582278481,0.7913005272407733,0.7124208860759493,0.7497918401332223,1801,475,727
['portfolio6']_32input_512entry_3hash_8bpi.pickle.lzma,61.59018987341772,0.6655367231638418,0.46598101265822783,0.5481619357840856,1178,592,1350
['portfolio6']_32input_512entry_4hash_16bpi.pickle.lzma,64.31962025316456,0.691129883843717,0.5178006329113924,0.5920398009950248,1309,585,1219
['portfolio6']_32input_512entry_4hash_32bpi.pickle.lzma,69.04667721518987,0.6914512922465209,0.6878955696202531,0.6896688479079913,1739,776,789
['portfolio6']_32input_512entry_4hash_4bpi.pickle.lzma,55.87420886075949,0.6187050359712231,0.3061708860759494,0.4096321778248214,774,477,1754
['portfolio6']_32input_512entry_4hash_64bpi.pickle.lzma,74.1495253164557,0.7450822962665596,0.7341772151898734,0.7395895596732417,1856,635,672
['portfolio6']_32input_512entry_4hash_8bpi.pickle.lzma,60.60126582278481,0.6744791666666666,0.4098101265822785,0.5098425196850394,1036,500,1492
['portfolio6']_32input_512entry_5hash_16bpi.pickle.lzma,65.03164556962025,0.6545972335231895,0.6364715189873418,0.6454071399919775,1609,849,919
['portfolio6']_32input_512entry_5hash_32bpi.pickle.lzma,67.26661392405063,0.6869379014989293,0.634493670886076,0.6596750976763316,1604,731,924
['portfolio6']_32input_512entry_5hash_4bpi.pickle.lzma,56.03243670886076,0.62170790103751,0.30814873417721517,0.41206030150753764,779,474,1749
['portfolio6']_32input_512entry_5hash_8bpi.pickle.lzma,57.83227848101266,0.6189903846153846,0.4074367088607595,0.491412213740458,1030,634,1498
['portfolio6']_4input_1024entry_2hash_16bpi.pickle.lzma,65.56566455696202,0.6630750103605471,0.6329113924050633,0.6476421776968226,1600,813,928
['portfolio6']_4input_1024entry_2hash_32bpi.pickle.lzma,66.45569620253164,0.6773231031543052,0.6285601265822784,0.652031185884284,1589,757,939
['portfolio6']_4input_1024entry_2hash_4bpi.pickle.lzma,65.2492088607595,0.6693017127799736,0.6028481012658228,0.6343392299687826,1524,753,1004
